exam_code,month,year,total_passers,total_takers,pass_rate
ALE,June,2026,2799,3290,85.08
ALE,January,2026,1998,2434,82.09
ALE,June,2025,1352,2075,65.16
ALE,January,2025,1052,1792,58.71
ALE,June,2024,2094,3370,62.14
ALE,January,2024,1809,2933,61.68
ALE,June,2023,2924,4784,61.12
ALE,January,2023,1980,3473,57.01
ALE,June,2022,3037,4766,63.72
ALE,January,2022,1370,2205,62.13
ALE,August,2021,560,849,65.96
ALE,January,2020,1242,2229,55.72
ALE,June,2019,2104,3172,66.33
ALE,January,2019,1120,1990,56.28
ALE,June,2018,1778,3177,55.96
ALE,January,2018,1126,1955,57.59
ALE,June,2017,1490,2679,55.62
ALE,January,2017,919,1595,57.62
ALE,June,2016,1243,2224,55.89
ALE,January,2016,841,1548,54.32
